"","Ti","Yi","Di","credit.score","interest.rate","pti","veh.value","co.sign","new.used","subvent.rate","subvent.cash","veh.pick.up","veh.suv"
"205",60,53,1,-0.401815312423264,-0.404840350769254,0.642251426938513,0.243353300291247,1,1,0,1,1,0
"206",60,53,1,0.489606647579504,-0.195619913266361,-0.265079497980256,1.104677380327,1,1,0,1,0,1
"207",59,53,1,0.91458688432501,-0.954556794404306,1.06248890795352,0.160337359321766,0,1,1,0,0,1
"208",63,52,1,0.655452593626531,-1.73400548314058,0.876247297049142,-0.304967421867143,0,1,1,0,0,0
"209",53,52,1,-0.422546055679142,-1.73400548314058,-0.413117701519633,0.167444906325732,1,1,1,0,0,1
"210",63,52,1,-0.267065481260055,-0.544320642437849,-0.429831692241821,-0.365317701544499,0,0,1,0,0,1
"211",58,52,1,0.562164248975078,-1.73400548314058,-0.415505414479946,1.25671612297644,1,1,1,0,1,0
"212",57,52,1,1.05970208711616,-0.134084490471392,-0.0645116093140014,0.0620198699037153,1,0,0,0,0,1
"213",64,53,1,-0.515834400330595,1.54378137107142,0.0596494646222509,-1.0248713306228,1,0,0,0,1,0
"214",63,52,1,0.966413742464705,-0.733029272342419,0.286482195851943,0.488385587092586,0,1,0,1,1,0
"215",64,52,1,-1.95662105661414,0.276151661495065,-1.27030665427184,0.255486092187255,0,1,0,1,1,0
"216",57,52,1,-0.298161596143872,0.600238221548567,0.921613843295081,0.0600191425582721,1,1,0,1,1,0
"217",55,52,1,-1.69748676591566,0.313072915172046,-1.27030665427184,0.209454555584743,0,1,0,1,1,0
"218",63,52,1,-0.557295886842352,2.32733242132735,0.606435732533824,-0.486949481951924,0,0,0,0,0,0
"219",63,52,1,-2.69256244219782,-1.73400548314058,-1.27030665427184,-0.132436595243707,0,1,1,0,1,0
"220",64,52,1,-2.04990940126559,0.128466646787141,-1.27030665427184,-0.556651309480389,0,1,0,0,1,0
"221",63,52,1,-0.381084569167386,0.313072915172046,-0.00243107234587526,-0.222053108853327,1,1,0,1,1,0
"222",63,51,1,0.385952931300112,-0.527911196359191,1.62360145362697,0.617886105575992,1,0,0,0,1,0
"223",62,51,1,0.199376241997207,1.34276565660785,0.334236455058194,-0.574354474656067,0,0,0,0,1,0
"224",57,52,1,1.0182406006044,0.128466646787141,-0.12897985924244,0.795291116444003,1,1,0,1,0,1
"225",63,52,1,1.09079820199998,-0.0971632367944108,2.83417192450543,1.01855090133163,1,1,0,1,1,0
"226",55,52,1,-1.54200619149657,-1.73400548314058,-1.27030665427184,0.344026627925996,0,1,1,0,1,0
"227",60,52,1,-0.256700109632116,-0.117675044392734,0.331848742097882,0.206590396318927,1,1,0,1,1,0
"228",64,52,1,-1.92552494173032,0.148978454385464,-1.27030665427184,0.314607927567179,0,1,0,1,1,0
"229",56,52,1,-0.401815312423264,0.620750029146889,-0.0764501741155642,-1.42949599259589,1,0,0,0,0,0
"230",63,51,1,-0.495103657074717,0.292561107573724,0.625537436216325,0.600159571659402,0,1,0,1,1,0
"231",63,51,1,-0.733507204517317,-0.544320642437849,-0.379689720075258,0.0146602740200545,0,1,1,0,0,1
"232",56,51,1,0.696914080138287,-0.954556794404306,0.0238337702175627,0.706978579308257,1,1,1,0,0,0
"233",64,52,1,-0.7024110896335,0.518190991155275,1.37050387983384,0.550991934245964,0,1,0,1,1,0
"234",63,52,1,0.271933843392781,-1.73400548314058,-0.38207743303557,1.38173100213524,0,1,1,0,1,0
